freq,3.2A,4.3A,6.1A,8.5A,15A
0.01041667,0.999990828221814,0.9997862969891804,0.999814800092929,0.9994119961772004,0.9963415395500032
0.02083333,0.9998703968382652,0.9988905551091748,0.9995223996536284,0.998442997750792,0.9866058435841916
0.03125,0.9997974550599598,0.9951625400489704,0.997944396891104,0.9937735,0.9576159221448898
0.04166667,0.99869606212718,0.9863655956986034,0.9934907921179352,0.948617031124604,0.8388112160535816
0.05208333,0.9975337033924,0.9815469649422132,0.9661177784625132,0.831939569322562,0.5882880526872722
0.0625,0.9936648688543916,0.97148849107243,0.8970504,0.755889,0.1736143599058532
0.07291667,0.9942657629624266,0.9579394403457164,0.8872258275480465,0.677962345915835,0.0382782899775234
0.08333333,0.9939472718388856,0.9479723920730486,0.8804365590454065,0.6641267997729673,0.0306777744517369
0.09375,0.9917846072927758,0.9387217384498088,0.8479864,0.567793,0.0313481613577995
0.10416667,0.988255874025119,0.9100469649231788,0.811285229835304,0.3924524400527981,0.0132711644893295
0.11458333,0.9820741038470352,0.8390796456463252,0.693334460485642,0.1728559296568109,0.0011179877126265
0.125,0.9694680194317936,0.7444036995494675,0.5102034571187156,0.069602,0.014422910105606
0.13541667,0.9565634024223868,0.6298841563852214,0.4262648218496622,0.0186711943875396,0.0068489355627655
0.14583333,0.9381193816009852,0.5410830216843845,0.2870390130882973,0.0413591170797253,0.0015767396828024
0.15625,0.9285843416549192,0.4580815923533916,0.189507,0.000595395,0.0
0.16666667,0.94048482282055,0.3166690017995923,0.1311206587072243,0.0,0.0
0.17708333,0.9418935763699916,0.3343664428838014,0.131731071739865,0.0,0.0
0.1875,0.9550343320452108,0.2540890305655034,0.0946394719053654,0.0,0.0
0.19791667,0.9630753253694376,0.1970818135692124,0.0499290399218751,0.0,0.0
0.20833333,0.9518973321793288,0.0870989361913665,0.0442529977271958,0.0,0.0
0.21875,0.9214959412198632,0.0269507953425892,0.0320807132657372,0.0,0.0
0.22916667,0.8706814532734048,0.0205304462128425,0.0172340438504437,0.0,0.0
0.23958333,0.826696633911143,0.0007477000128994,0.0019557456974228,0.0,0.0
0.25,0.6442998561573459,0.0,0.0,0.0,0.0
0.26041667,0.5842914154801131,0.0,0.0,0.0,0.0
0.27083333,0.4762900286269276,0.0,0.0,0.0,0.0
0.28125,0.3936204470215221,0.0,0.0,0.0,0.0
0.29166667,0.2910279903414682,0.0,0.0,0.0,0.0
0.30208333,0.2242312642518927,0.0,0.0,0.0,0.0
0.3125,0.134430220467897,0.0,0.0,0.0,0.0
0.32291667,0.055672530787342,0.0,0.0,0.0,0.0
0.33333333,0.0363224099677668,0.0,0.0,0.0,0.0
